8	0	4	0.01
8.01	0	4	0.01
8.02	0	4	0.01
8.03	0	4	0.01
8.04	0	4	0.01
7.92	1	4	0.01
7.93	1	4	0.01
7.94	1	4	0.01
7.95	1	4	0.01
7.96	1	4	0.01
7.97	1	4	0.01
7.98	1	4	0.01
7.99	1	4	0.01
8	1	4	0.01
8.01	1	4	0.01
8.02	1	4	0.01
8.03	1	4	0.01
8.04	1	4	0.01
7.92	2	4	0.01
7.93	2	4	0.01
7.94	2	4	0.01
7.95	2	4	0.01
7.96	2	4	0.01
7.97	2	4	0.01
7.98	2	4	0.01
7.99	2	4	0.01
8	2	4	0.01
8.01	2	4	0.01
8.02	2	4	0.01
8.03	2	4	0.01
8.04	2	4	0.01
7.92	4	4	0.01
7.93	4	4	0.01
7.94	4	4	0.01
7.95	4	4	0.01
7.96	4	4	0.01
7.97	4	4	0.01
7.98	4	4	0.01
7.99	4	4	0.01
8	4	4	0.01
8.01	4	4	0.01
8.02	4	4	0.01
8.03	4	4	0.01
8.04	4	4	0.01
7.92	6	4	0.01
7.93	6	4	0.01
7.94	6	4	0.01
7.95	6	4	0.01
7.96	6	4	0.01
7.97	6	4	0.01
7.98	6	4	0.01
7.99	6	4	0.01
8	6	4	0.01
8.01	6	4	0.01
8.02	6	4	0.01
8.03	6	4	0.01
8.04	6	4	0.01
7.92	0	6	0.01
7.93	0	6	0.01
7.94	0	6	0.01
7.95	0	6	0.01
7.96	0	6	0.01
7.97	0	6	0.01
7.98	0	6	0.01
7.99	0	6	0.01
8	0	6	0.01
8.01	0	6	0.01
8.02	0	6	0.01
8.03	0	6	0.01
8.04	0	6	0.01
7.92	1	6	0.01
7.93	1	6	0.01
7.94	1	6	0.01
7.95	1	6	0.01
7.96	1	6	0.01
7.97	1	6	0.01
7.98	1	6	0.01
7.99	1	6	0.01
8	1	6	0.01
8.01	1	6	0.01
8.02	1	6	0.01
8.03	1	6	0.01
8.04	1	6	0.01
7.92	2	6	0.01
7.93	2	6	0.01
7.94	2	6	0.01
7.95	2	6	0.01
7.96	2	6	0.01
7.97	2	6	0.01
7.98	2	6	0.01
7.99	2	6	0.01
8	2	6	0.01
8.01	2	6	0.01
8.02	2	6	0.01
8.03	2	6	0.01
8.04	2	6	0.01
7.92	4	6	0.01
7.93	4	6	0.01
7.94	4	6	0.01
7.95	4	6	0.01
7.96	4	6	0.01
7.97	4	6	0.01
7.98	4	6	0.01
7.99	4	6	0.01
8	4	6	0.01
8.01	4	6	0.01
8.02	4	6	0.01
8.03	4	6	0.01
8.04	4	6	0.01
7.92	6	6	0.01
7.93	6	6	0.01
7.94	6	6	0.01
7.95	6	6	0.01
7.96	6	6	0.01
7.97	6	6	0.01
7.98	6	6	0.01
7.99	6	6	0.01
8	6	6	0.01
8.01	6	6	0.01
8.02	6	6	0.01
8.03	6	6	0.01
8.04	6	6	0.01
7.92	0	0	0.001
7.93	0	0	0.001
7.94	0	0	0.001
7.95	0	0	0.001
7.96	0	0	0.001
7.97	0	0	0.001
7.98	0	0	0.001
7.99	0	0	0.001
8	0	0	0.001
8.01	0	0	0.001
8.02	0	0	0.001
8.03	0	0	0.001
8.04	0	0	0.001
7.92	1	0	0.001
7.93	1	0	0.001
7.94	1	0	0.001
7.95	1	0	0.001
7.96	1	0	0.001
7.97	1	0	0.001
7.98	1	0	0.001
7.99	1	0	0.001
8	1	0	0.001
8.01	1	0	0.001
8.02	1	0	0.001
8.03	1	0	0.001
8.04	1	0	0.001
7.92	2	0	0.001
7.93	2	0	0.001
7.94	2	0	0.001
7.95	2	0	0.001
7.96	2	0	0.001
7.97	2	0	0.001
7.98	2	0	0.001
7.99	2	0	0.001
8	2	0	0.001
8.01	2	0	0.001
8.02	2	0	0.001
8.03	2	0	0.001
8.04	2	0	0.001
7.92	4	0	0.001
7.93	4	0	0.001
7.94	4	0	0.001
7.95	4	0	0.001
7.96	4	0	0.001
7.97	4	0	0.001
7.98	4	0	0.001
7.99	4	0	0.001
8	4	0	0.001
8.01	4	0	0.001
8.02	4	0	0.001
8.03	4	0	0.001
8.04	4	0	0.001
7.92	6	0	0.001
7.93	6	0	0.001
7.94	6	0	0.001
7.95	6	0	0.001
7.96	6	0	0.001
7.97	6	0	0.001
7.98	6	0	0.001
7.99	6	0	0.001
8	6	0	0.001
8.01	6	0	0.001
8.02	6	0	0.001
8.03	6	0	0.001
8.04	6	0	0.001
7.92	0	1	0.001
7.93	0	1	0.001
7.94	0	1	0.001
7.95	0	1	0.001
7.96	0	1	0.001
7.97	0	1	0.001
7.98	0	1	0.001
7.99	0	1	0.001
8	0	1	0.001
8.01	0	1	0.001
8.02	0	1	0.001
8.03	0	1	0.001
8.04	0	1	0.001
7.92	1	1	0.001
7.93	1	1	0.001
7.94	1	1	0.001
7.95	1	1	0.001
7.96	1	1	0.001
7.97	1	1	0.001
7.98	1	1	0.001
7.99	1	1	0.001
8	1	1	0.001
8.01	1	1	0.001
8.02	1	1	0.001
8.03	1	1	0.001
8.04	1	1	0.001
7.92	2	1	0.001
7.93	2	1	0.001
7.94	2	1	0.001
7.95	2	1	0.001
7.96	2	1	0.001
7.97	2	1	0.001
7.98	2	1	0.001
7.99	2	1	0.001
8	2	1	0.001
8.01	2	1	0.001
8.02	2	1	0.001
8.03	2	1	0.001
8.04	2	1	0.001
7.92	4	1	0.001
7.93	4	1	0.001
7.94	4	1	0.001
7.95	4	1	0.001
7.96	4	1	0.001
7.97	4	1	0.001
7.98	4	1	0.001
7.99	4	1	0.001
8	4	1	0.001
8.01	4	1	0.001
8.02	4	1	0.001
8.03	4	1	0.001
8.04	4	1	0.001
7.92	6	1	0.001
7.93	6	1	0.001
7.94	6	1	0.001
7.95	6	1	0.001
7.96	6	1	0.001
7.97	6	1	0.001
7.98	6	1	0.001
7.99	6	1	0.001
8	6	1	0.001
8.01	6	1	0.001
8.02	6	1	0.001
8.03	6	1	0.001
8.04	6	1	0.001
7.92	0	2	0.001
7.93	0	2	0.001
7.94	0	2	0.001
7.95	0	2	0.001
7.96	0	2	0.001
7.97	0	2	0.001
7.98	0	2	0.001
7.99	0	2	0.001
8	0	2	0.001
8.01	0	2	0.001
8.02	0	2	0.001
8.03	0	2	0.001
8.04	0	2	0.001
7.92	1	2	0.001
7.93	1	2	0.001
7.94	1	2	0.001
7.95	1	2	0.001
7.96	1	2	0.001
7.97	1	2	0.001
7.98	1	2	0.001
7.99	1	2	0.001
8	1	2	0.001
8.01	1	2	0.001
8.02	1	2	0.001
8.03	1	2	0.001
8.04	1	2	0.001
7.92	2	2	0.001
7.93	2	2	0.001
7.94	2	2	0.001
7.95	2	2	0.001
7.96	2	2	0.001
7.97	2	2	0.001
7.98	2	2	0.001
7.99	2	2	0.001
8	2	2	0.001
8.01	2	2	0.001
8.02	2	2	0.001
8.03	2	2	0.001
8.04	2	2	0.001
7.92	4	2	0.001
7.93	4	2	0.001
7.94	4	2	0.001
7.95	4	2	0.001
7.96	4	2	0.001
7.97	4	2	0.001
7.98	4	2	0.001
7.99	4	2	0.001
8	4	2	0.001
8.01	4	2	0.001
8.02	4	2	0.001
8.03	4	2	0.001
8.04	4	2	0.001
7.92	6	2	0.001
7.93	6	2	0.001
7.94	6	2	0.001
7.95	6	2	0.001
7.96	6	2	0.001
7.97	6	2	0.001
7.98	6	2	0.001
7.99	6	2	0.001
8	6	2	0.001
8.01	6	2	0.001
8.02	6	2	0.001
8.03	6	2	0.001
8.04	6	2	0.001
7.92	0	4	0.001
7.93	0	4	0.001
7.94	0	4	0.001
7.95	0	4	0.001
7.96	0	4	0.001
7.97	0	4	0.001
7.98	0	4	0.001
7.99	0	4	0.001
8	0	4	0.001
8.01	0	4	0.001
8.02	0	4	0.001
8.03	0	4	0.001
8.04	0	4	0.001
7.92	1	4	0.001
7.93	1	4	0.001
7.94	1	4	0.001
7.95	1	4	0.001
7.96	1	4	0.001
7.97	1	4	0.001
7.98	1	4	0.001
7.99	1	4	0.001
8	1	4	0.001
8.01	1	4	0.001
8.02	1	4	0.001
8.03	1	4	0.001
8.04	1	4	0.001
7.92	2	4	0.001
7.93	2	4	0.001
7.94	2	4	0.001
7.95	2	4	0.001
7.96	2	4	0.001
7.97	2	4	0.001
7.98	2	4	0.001
7.99	2	4	0.001
8	2	4	0.001
8.01	2	4	0.001
8.02	2	4	0.001
8.03	2	4	0.001
8.04	2	4	0.001
7.92	4	4	0.001
7.93	4	4	0.001
7.94	4	4	0.001
7.95	4	4	0.001
7.96	4	4	0.001
7.97	4	4	0.001
7.98	4	4	0.001
7.99	4	4	0.001
8	4	4	0.001
8.01	4	4	0.001
8.02	4	4	0.001
8.03	4	4	0.001
8.04	4	4	0.001
7.92	6	4	0.001
7.93	6	4	0.001
7.94	6	4	0.001
7.95	6	4	0.001
7.96	6	4	0.001
7.97	6	4	0.001
7.98	6	4	0.001
7.99	6	4	0.001
8	6	4	0.001
8.01	6	4	0.001
8.02	6	4	0.001
8.03	6	4	0.001
8.04	6	4	0.001
7.92	0	6	0.001
7.93	0	6	0.001
7.94	0	6	0.001
7.95	0	6	0.001
7.96	0	6	0.001
7.97	0	6	0.001
7.98	0	6	0.001
7.99	0	6	0.001
8	0	6	0.001
8.01	0	6	0.001
8.02	0	6	0.001
8.03	0	6	0.001
8.04	0	6	0.001
7.92	1	6	0.001
7.93	1	6	0.001
7.94	1	6	0.001
7.95	1	6	0.001
7.96	1	6	0.001
7.97	1	6	0.001
7.98	1	6	0.001
7.99	1	6	0.001
8	1	6	0.001
8.01	1	6	0.001
8.02	1	6	0.001
8.03	1	6	0.001
8.04	1	6	0.001
7.92	2	6	0.001
7.93	2	6	0.001
7.94	2	6	0.001
7.95	2	6	0.001
7.96	2	6	0.001
7.97	2	6	0.001
7.98	2	6	0.001
7.99	2	6	0.001
8	2	6	0.001
8.01	2	6	0.001
8.02	2	6	0.001
8.03	2	6	0.001
8.04	2	6	0.001
7.92	4	6	0.001
7.93	4	6	0.001
7.94	4	6	0.001
7.95	4	6	0.001
7.96	4	6	0.001
7.97	4	6	0.001
7.98	4	6	0.001
7.99	4	6	0.001
8	4	6	0.001
8.01	4	6	0.001
8.02	4	6	0.001
8.03	4	6	0.001
8.04	4	6	0.001
7.92	6	6	0.001
7.93	6	6	0.001
7.94	6	6	0.001
7.95	6	6	0.001
7.96	6	6	0.001
7.97	6	6	0.001
7.98	6	6	0.001
7.99	6	6	0.001
8	6	6	0.001
8.01	6	6	0.001
8.02	6	6	0.001
8.03	6	6	0.001
8.04	6	6	0.001
7.92	0	0	0.0001
7.93	0	0	0.0001
7.94	0	0	0.0001
7.95	0	0	0.0001
7.96	0	0	0.0001
7.97	0	0	0.0001
7.98	0	0	0.0001
7.99	0	0	0.0001
8	0	0	0.0001
8.01	0	0	0.0001
8.02	0	0	0.0001
8.03	0	0	0.0001
8.04	0	0	0.0001
7.92	1	0	0.0001
7.93	1	0	0.0001
7.94	1	0	0.0001
7.95	1	0	0.0001
7.96	1	0	0.0001
7.97	1	0	0.0001
7.98	1	0	0.0001
7.99	1	0	0.0001
8	1	0	0.0001
8.01	1	0	0.0001
8.02	1	0	0.0001
8.03	1	0	0.0001
8.04	1	0	0.0001
7.92	2	0	0.0001
7.93	2	0	0.0001
7.94	2	0	0.0001
7.95	2	0	0.0001
7.96	2	0	0.0001
7.97	2	0	0.0001
7.98	2	0	0.0001
7.99	2	0	0.0001
8	2	0	0.0001
8.01	2	0	0.0001
8.02	2	0	0.0001
8.03	2	0	0.0001
8.04	2	0	0.0001
7.92	4	0	0.0001
7.93	4	0	0.0001
7.94	4	0	0.0001
7.95	4	0	0.0001
7.96	4	0	0.0001
7.97	4	0	0.0001
7.98	4	0	0.0001
7.99	4	0	0.0001
8	4	0	0.0001
8.01	4	0	0.0001
8.02	4	0	0.0001
8.03	4	0	0.0001
8.04	4	0	0.0001
7.92	6	0	0.0001
7.93	6	0	0.0001
7.94	6	0	0.0001
7.95	6	0	0.0001
7.96	6	0	0.0001
7.97	6	0	0.0001
7.98	6	0	0.0001
7.99	6	0	0.0001
8	6	0	0.0001
8.01	6	0	0.0001
8.02	6	0	0.0001
8.03	6	0	0.0001
8.04	6	0	0.0001
7.92	0	1	0.0001
7.93	0	1	0.0001
7.94	0	1	0.0001
7.95	0	1	0.0001
7.96	0	1	0.0001
7.97	0	1	0.0001
7.98	0	1	0.0001
7.99	0	1	0.0001
8	0	1	0.0001
8.01	0	1	0.0001
8.02	0	1	0.0001
8.03	0	1	0.0001
8.04	0	1	0.0001
7.92	1	1	0.0001
7.93	1	1	0.0001
7.94	1	1	0.0001
7.95	1	1	0.0001
7.96	1	1	0.0001
7.97	1	1	0.0001
7.98	1	1	0.0001
7.99	1	1	0.0001
8	1	1	0.0001
8.01	1	1	0.0001
8.02	1	1	0.0001
8.03	1	1	0.0001
8.04	1	1	0.0001
7.92	2	1	0.0001
7.93	2	1	0.0001
7.94	2	1	0.0001
7.95	2	1	0.0001
7.96	2	1	0.0001
7.97	2	1	0.0001
7.98	2	1	0.0001
7.99	2	1	0.0001
8	2	1	0.0001
8.01	2	1	0.0001
8.02	2	1	0.0001
8.03	2	1	0.0001
8.04	2	1	0.0001
7.92	4	1	0.0001
7.93	4	1	0.0001
7.94	4	1	0.0001
7.95	4	1	0.0001
7.96	4	1	0.0001
7.97	4	1	0.0001
7.98	4	1	0.0001
7.99	4	1	0.0001
8	4	1	0.0001
8.01	4	1	0.0001
8.02	4	1	0.0001
8.03	4	1	0.0001
8.04	4	1	0.0001
7.92	6	1	0.0001
7.93	6	1	0.0001
7.94	6	1	0.0001
7.95	6	1	0.0001
7.96	6	1	0.0001
7.97	6	1	0.0001
7.98	6	1	0.0001
7.99	6	1	0.0001
8	6	1	0.0001
8.01	6	1	0.0001
8.02	6	1	0.0001
8.03	6	1	0.0001
8.04	6	1	0.0001
7.92	0	2	0.0001
7.93	0	2	0.0001
7.94	0	2	0.0001
7.95	0	2	0.0001
7.96	0	2	0.0001
7.97	0	2	0.0001
7.98	0	2	0.0001
7.99	0	2	0.0001
8	0	2	0.0001
8.01	0	2	0.0001
8.02	0	2	0.0001
8.03	0	2	0.0001
8.04	0	2	0.0001
7.92	1	2	0.0001
7.93	1	2	0.0001
7.94	1	2	0.0001
7.95	1	2	0.0001
7.96	1	2	0.0001
7.97	1	2	0.0001
7.98	1	2	0.0001
7.99	1	2	0.0001
8	1	2	0.0001
8.01	1	2	0.0001
8.02	1	2	0.0001
8.03	1	2	0.0001
8.04	1	2	0.0001
7.92	2	2	0.0001
7.93	2	2	0.0001
7.94	2	2	0.0001
7.95	2	2	0.0001
7.96	2	2	0.0001
7.97	2	2	0.0001
7.98	2	2	0.0001
7.99	2	2	0.0001
8	2	2	0.0001
8.01	2	2	0.0001
8.02	2	2	0.0001
8.03	2	2	0.0001
8.04	2	2	0.0001
7.92	4	2	0.0001
7.93	4	2	0.0001
7.94	4	2	0.0001
7.95	4	2	0.0001
7.96	4	2	0.0001
7.97	4	2	0.0001
7.98	4	2	0.0001
7.99	4	2	0.0001
8	4	2	0.0001
8.01	4	2	0.0001
8.02	4	2	0.0001
8.03	4	2	0.0001
8.04	4	2	0.0001
7.92	6	2	0.0001
7.93	6	2	0.0001
7.94	6	2	0.0001
7.95	6	2	0.0001
7.96	6	2	0.0001
7.97	6	2	0.0001
7.98	6	2	0.0001
7.99	6	2	0.0001
8	6	2	0.0001
8.01	6	2	0.0001
8.02	6	2	0.0001
8.03	6	2	0.0001
8.04	6	2	0.0001
7.92	0	4	0.0001
7.93	0	4	0.0001
7.94	0	4	0.0001
7.95	0	4	0.0001
7.96	0	4	0.0001
7.97	0	4	0.0001
7.98	0	4	0.0001
7.99	0	4	0.0001
8	0	4	0.0001
8.01	0	4	0.0001
8.02	0	4	0.0001
8.03	0	4	0.0001
8.04	0	4	0.0001
7.92	1	4	0.0001
7.93	1	4	0.0001
7.94	1	4	0.0001
7.95	1	4	0.0001
7.96	1	4	0.0001
7.97	1	4	0.0001
7.98	1	4	0.0001
7.99	1	4	0.0001
8	1	4	0.0001
8.01	1	4	0.0001
8.02	1	4	0.0001
8.03	1	4	0.0001
8.04	1	4	0.0001
7.92	2	4	0.0001
7.93	2	4	0.0001
7.94	2	4	0.0001
7.95	2	4	0.0001
7.96	2	4	0.0001
7.97	2	4	0.0001
7.98	2	4	0.0001
7.99	2	4	0.0001
8	2	4	0.0001
8.01	2	4	0.0001
8.02	2	4	0.0001
8.03	2	4	0.0001
8.04	2	4	0.0001
7.92	4	4	0.0001
7.93	4	4	0.0001
7.94	4	4	0.0001
7.95	4	4	0.0001
7.96	4	4	0.0001
7.97	4	4	0.0001
7.98	4	4	0.0001
7.99	4	4	0.0001
8	4	4	0.0001
8.01	4	4	0.0001
8.02	4	4	0.0001
8.03	4	4	0.0001
8.04	4	4	0.0001
7.92	6	4	0.0001
7.93	6	4	0.0001
7.94	6	4	0.0001
7.95	6	4	0.0001
7.96	6	4	0.0001
7.97	6	4	0.0001
7.98	6	4	0.0001
7.99	6	4	0.0001
8	6	4	0.0001
8.01	6	4	0.0001
8.02	6	4	0.0001
8.03	6	4	0.0001
8.04	6	4	0.0001
7.92	0	6	0.0001
7.93	0	6	0.0001
7.94	0	6	0.0001
7.95	0	6	0.0001
7.96	0	6	0.0001
7.97	0	6	0.0001
7.98	0	6	0.0001
7.99	0	6	0.0001
8	0	6	0.0001
8.01	0	6	0.0001
8.02	0	6	0.0001
8.03	0	6	0.0001
8.04	0	6	0.0001
7.92	1	6	0.0001
7.93	1	6	0.0001
7.94	1	6	0.0001
7.95	1	6	0.0001
7.96	1	6	0.0001
7.97	1	6	0.0001
7.98	1	6	0.0001
7.99	1	6	0.0001
8	1	6	0.0001
8.01	1	6	0.0001
8.02	1	6	0.0001
8.03	1	6	0.0001
8.04	1	6	0.0001
7.92	2	6	0.0001
7.93	2	6	0.0001
7.94	2	6	0.0001
7.95	2	6	0.0001
7.96	2	6	0.0001
7.97	2	6	0.0001
7.98	2	6	0.0001
7.99	2	6	0.0001
8	2	6	0.0001
8.01	2	6	0.0001
8.02	2	6	0.0001
8.03	2	6	0.0001
8.04	2	6	0.0001
7.92	4	6	0.0001
7.93	4	6	0.0001
7.94	4	6	0.0001
7.95	4	6	0.0001
7.96	4	6	0.0001
7.97	4	6	0.0001
7.98	4	6	0.0001
7.99	4	6	0.0001
8	4	6	0.0001
8.01	4	6	0.0001
8.02	4	6	0.0001
8.03	4	6	0.0001
8.04	4	6	0.0001
7.92	6	6	0.0001
7.93	6	6	0.0001
7.94	6	6	0.0001
7.95	6	6	0.0001
7.96	6	6	0.0001
7.97	6	6	0.0001
7.98	6	6	0.0001
7.99	6	6	0.0001
8	6	6	0.0001
8.01	6	6	0.0001
8.02	6	6	0.0001
8.03	6	6	0.0001
8.04	6	6	0.0001
